Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3rfBxEjFrQD5tr7p9j6anJ,"Green & Blue","Green & Blue","Juicy Lemon Club",2025-09-12,221835,16,false,,2025-09-29T12:37:37Z,"nu disco","Juicy Lemon Club",0.818,0.598,8,-7.05,1,0.0534,0.586,0,0.108,0.759,103.96,4
spotify:track:5USPzZ01F1eJE6ycaRO0qX,"DREAMBOY","DREAMBOY","Gabriel",2025-08-22,158756,0,false,,2025-09-29T12:26:03Z,"retro pop","seraphim outputs limited. all rights reserved.",0.914,0.374,1,-10.227,1,0.0645,0.736,0.000476,0.0884,0.8,122.978,4
spotify:track:6sDfHXYooriF5LghtHlnoR,"Manoir de mes rêves","La petite famille","Samy Daussat",2013-08-26,234880,35,false,,2025-09-29T12:24:01Z,"french jazz","Label Ouest",0.807,0.487,7,-11.146,1,0.0476,0.877,0.876,0.1,0.387,101.503,4
spotify:track:0LSd9aoXZWKq54cvTk2ToS,"Must Be Nice!","Must Be Nice!","Wendlo",2025-06-06,208627,46,false,,2025-09-28T15:52:44Z,"","Wendlo",0.797,0.426,4,-6.638,1,0.197,0.882,0,0.0968,0.776,155.933,4
spotify:track:15j0lU4L9KfYkpLJMLu13a,"You Just Won't Give Me Love","You Just Won't Give Me Love","My Mom Is Here",2025-06-27,219839,34,false,,2025-09-25T23:13:43Z,"pop soul","Seiff Sare Records",0.709,0.276,10,-9.75,1,0.03,0.778,0,0.273,0.438,95.027,4
spotify:track:72zZfHPYx43shcP3eKkYi5,"Are You Gonna Be My Girl","Get Born (Deluxe Edition)","Jet",2003-09-14,213800,83,false,,2025-09-24T15:30:08Z,"","BMG Rights Management (US) LLC",0.606,0.957,2,-3.404,1,0.0814,0.00117,0.000295,0.14,0.603,105.105,4
spotify:track:0VO8gYVDSwM1Qdd2GsMoYK,"Moth To A Flame (with The Weeknd)","Paradise Again","Swedish House Mafia;The Weeknd",2022-04-15,234000,85,false,,2025-09-22T16:29:07Z,"edm","Republic Records",0.553,0.659,8,-7.295,1,0.0391,0.0027,0,0.105,0.105,120.146,4
spotify:track:6yljCYdn6RsTj8oWXPeJCl,"Tony Stark","Drugs","The Symposium",2014-10-31,177374,39,false,,2025-09-10T02:19:00Z,"","The Symposium",0.729,0.342,9,-15.138,1,0.301,0.0343,0.834,0.116,0.72,175.922,4
spotify:track:5oHBWkygMgZZSmR03pMgZp,"Night and Day","Night and Day","xander.;Rikard From",2025-07-18,133333,25,false,,2025-09-08T14:35:55Z,"lo-fi,lo-fi hip hop,lo-fi beats,christian lo-fi,jazz beats","Lofi Playground LLC",0.629,0.411,0,-14.04,1,0.041,0.718,0.904,0.113,0.168,143.956,4
spotify:track:2X3HOEEpkmApjUWpQ0jHp2,"Parallel","Parallel","simmerr",2024-06-26,236986,43,false,,2025-09-08T13:43:07Z,"","Big Match Records",0.663,0.471,0,-8.085,0,0.0424,0.412,0.0135,0.0964,0.765,83.031,4
spotify:track:58gPIRzKQteZDwUQKQAj0q,"It's Gonna Rain","Resistance","The Souljazz Orchestra",2015-09-04,307397,43,false,,2025-09-08T13:19:47Z,"soul jazz,afrobeat,jazz funk,brass band","Strut",0.52,0.701,0,-7.72,1,0.0336,0.75,0.446,0.146,0.912,127.742,5
spotify:track:1PdUyYYw9sGU0yhLrpeHKt,"Never Getting Laid","Man’s Best Friend","Sabrina Carpenter",2025-08-29,208211,76,true,,2025-09-04T23:37:05Z,"pop","Island Records",0.573,0.554,9,-6.021,1,0.0307,0.546,0.00000105,0.131,0.319,92.068,4
spotify:track:2XwjJPenyna7YyCzURSNLh,"Blue Sky","Blue Sky","Luke Tyler Shelton",2025-07-18,216615,44,false,,2025-09-03T19:44:11Z,"","Concord Records",0.494,0.498,9,-9.393,1,0.0298,0.809,0.0000279,0.115,0.725,92.581,4
spotify:track:0rMQBg3wDWZcKtjRnRxnmT,"Tora Moyo","Animaru","Mei Semones",2025-05-02,171658,50,false,,2025-09-03T19:36:33Z,"japanese indie,indie jazz","Bayonet Records",0.474,0.364,2,-10.714,1,0.0719,0.834,0.0000457,0.112,0.257,107.439,4
spotify:track:5UhkNRrD7irazpKbSuZ8R1,"Wasting Time With You","Wasting Time With You","Wendlo",2025-04-09,150983,39,false,,2025-08-28T23:06:35Z,"","Wendlo",0.821,0.346,10,-7.186,1,0.0469,0.802,0.00000287,0.1,0.609,81.999,4
spotify:track:7FFMC7dLdFQp3EXF6vFP2U,"Saffron Skies","Wings of the Dawn","Gen di Calabria",2025-01-10,125806,25,false,,2025-08-26T14:34:02Z,"","Art Of Silence",0.816,0.274,8,-10.219,0,0.0822,0.947,0.907,0.103,0.546,124.103,4
spotify:track:5NmBkXFDDRCWdopPXZPr0L,"People Settle Down","Massive Shoe","Way Dynamic",2025-08-22,197573,41,false,,2025-08-26T14:31:06Z,"","Spoilsport Records",0.812,0.554,8,-12.464,1,0.044,0.359,0.688,0.0706,0.957,127.871,4
spotify:track:4Nb71Jd20EzeumG92Cddba,"For Her","Again","iwamizu",2019-02-19,165000,29,false,,2025-08-26T14:16:40Z,"jazz beats","Ginseng Records Japon",0.746,0.473,11,-9.521,0,0.053,0.717,0.867,0.103,0.748,80.026,4
spotify:track:4kKqYk2nY5EJr7yweY0SZW,"Chicago Summer","Chicago Summer","Vulfmon;Evangeline;Woody Goss",2025-06-20,153465,0,false,,2025-08-26T14:03:33Z,"soul jazz","Vulf Records",0.871,0.531,1,-12.363,1,0.0621,0.539,0.00378,0.11,0.972,128.169,4
spotify:track:6ls5CB8bM1iXIwsOVjwYwN,"one more","one more","Tiny Habits",2023-03-01,223095,34,false,,2025-08-18T21:50:42Z,"","Harbour Artists & Music",0.719,0.326,6,-12.703,1,0.0359,0.881,0.00309,0.106,0.201,125.964,4
spotify:track:4pPIg10sInZx72jIF8a9aj,"Loving You Always (Live at The Bunker Studio)","Jackie Evans (Live at The Bunker Studio)","Jackie Evans",2025-05-09,142800,42,false,,2025-08-11T13:23:44Z,"","Jackie Evans",0.424,0.0606,9,-14.396,1,0.0425,0.971,0.000574,0.12,0.231,85.448,1
spotify:track:1l87HIlDZdO2Td1povzS3H,"Situation","The Programme (deluxe)","PREP",2025-08-01,254760,13,false,,2025-08-05T13:34:56Z,"","Bright Antenna",0.885,0.434,5,-10.641,1,0.0655,0.388,0.00122,0.0919,0.718,113.032,4
spotify:track:2t7qSoAZLrYWzWrjhDBhE4,"Big Time","Planet Pearl","Pearl & The Oysters",2024-09-20,226514,28,false,,2025-08-04T14:17:28Z,"","Stones Throw Records",0.827,0.489,2,-8.039,0,0.0377,0.0636,0.0000506,0.103,0.415,111.031,4
spotify:track:3byAQBsI5tP3Pt14DjSRGN,"Heart Shaped Box","Heart Shaped Box","Em9",2025-05-02,188528,27,false,,2025-08-04T13:16:38Z,"jazz beats","Chill Ghost",0.886,0.358,7,-13.431,1,0.122,0.863,0.901,0.0713,0.425,119.988,3
spotify:track:2SsY5k7UWFqgye3PUMG3Oq,"The Subway","The Subway","Chappell Roan",2025-08-01,252276,82,true,,2025-08-02T18:08:43Z,"","Chappell Roan PS/ Island",0.31,0.608,10,-6.225,1,0.0328,0.426,0,0.186,0.503,166.337,4
